MAG,Class,Genus,L50 (kb),n_contigs,GC,MBP,comp,cont,QS
Brown_K.bin.3,Bacteroidia,Mucilaginibacter,8.852,609,0.41865,4.179142,82.45,2.86,0.6815000000000001
Brown_S.bin.2,Bacteroidia,Mucilaginibacter,2.343,1860,0.39719,3.91773,65.74,2.88,0.5134000000000001
Brown_Z.bin.5,Bacteroidia,Mucilaginibacter,4.357,978,0.45772,3.386165,73.44,3.29,0.5699000000000001
Brown_J.bin.6,Bacteroidia,Mucilaginibacter_A,12.157,537,0.39431,4.22681,92.86,1.83,0.8371
Green_AK.bin.3,Bacteroidia,Mucilaginibacter_A,2.537,876,0.41283,2.046738,64.97,0,0.6496999999999999
Brown_AA.bin.1,Bacteroidia,Parafilimonas,7.544,591,0.35876,3.342727,79.8,3.9,0.603
Brown_Y.bin.3,Bacteroidia,Puia,10.325,542,0.5038,3.933834,91.4,1.81,0.8234999999999999
Brown_Y.bin.4,Bacteroidia,Puia,3.239,1239,0.51582,3.503203,71.68,2.76,0.5788
Brown_AE.bin.1,Cyanobacteriia,FACHB-831,7.307,1186,0.46217,6.240889,88.67,1.33,0.8201999999999999
Brown_J.bin.8,Cyanobacteriia,Iningainema,5.743,1512,0.42311,7.367868,80.16,4.19,0.5921
Green_AD.bin.2,Cyanobacteriia,Nostoc,5.29,1204,0.41213,5.42822,68.03,2.19,0.5708
Green_W.bin.2,Cyanobacteriia,Nostoc,6.989,1293,0.41899,7.027614,89.37,0.67,0.8602
Brown_AA.bin.3,Cyanobacteriia,Stigonema,7.699,1197,0.4395,6.921433,92.73,1.57,0.8488
Brown_Z.bin.1,Cyanobacteriia,Stigonema,6.61,1776,0.43614000000000003,9.001414,79.86,1.93,0.7021
Green_AM.bin.3,Cyanobacteriia,NA,4.447,1173,0.39854,4.507805,75.85,1.2,0.6984999999999999
Brown_R.bin.3,Eremiobacteria,Nyctobacter,11.474,425,0.66434,3.237131,95.16,0.93,0.9051
Green_S.bin.2,Eremiobacteria,Nyctobacter,16.539,292,0.67697,2.869165,95.31,0,0.9531
Brown_AE.bin.3,Eremiobacteria,Palsa-1515,3.113,1280,0.63289,3.43796,63.93,0.93,0.5928
Brown_AE.bin.6,Eremiobacteria,Palsa-1515,7.354,530,0.68239,2.766978,88.8,0.1,0.883
Brown_T.bin.6,Eremiobacteria,Palsa-1515,8.237,397,0.64356,2.725185,70.27,1.6,0.6227
Brown_AA.bin.6,Eremiobacteria,Tumulicola,4.007,834,0.61473,2.846516,80.84,2.78,0.6694
Green_AK.bin.6,Eremiobacteria,Velthaea,2.463,1472,0.61079,3.244277,62.53,1.85,0.5328
Brown_AD.bin.6,Gammaproteobacteria,Bog-1198,27.025,253,0.61584,4.288261,93.78,4.59,0.7082999999999999
Brown_Q.bin.2,Gammaproteobacteria,Bog-1198,38.315,203,0.64873,4.10353,97.05,3.56,0.7925
Brown_S.bin.5,Gammaproteobacteria,Bog-1198,9.527,485,0.66728,3.560917,85.91,1.88,0.7651
Brown_V.bin.1,Gammaproteobacteria,Bog-1198,21.471,247,0.61749,3.749026,90.77,2.67,0.7742
Brown_X.bin.4,Gammaproteobacteria,Bog-1198,9.749,528,0.66254,3.618176,87.3,2.98,0.7240000000000001
Brown_Y.bin.2,Gammaproteobacteria,Bog-1198,22.683,323,0.60169,4.489026,94.04,4.92,0.6944
Green_T.bin.3,Gammaproteobacteria,Bog-1198,19.029,266,0.62219,3.464353,92.35,3.79,0.7340000000000001
Green_N.bin.3,Gammaproteobacteria,Buchnera,2.85,174,0.25135,0.463963,68.8,0,0.688
Green_Q.bin.1,Gammaproteobacteria,CAHJXF01,13.105,452,0.66884,4.094172,94.56,1.95,0.8481000000000001
Brown_K.bin.1,Gammaproteobacteria,CAJCIC01,6.9,657,0.61729,3.543046,77.8,0.93,0.7315
Green_T.bin.1,Gammaproteobacteria,Janthinobacterium,2.867,1500,0.60212,3.750893,68.13,2.92,0.5353
Green_P.bin.4,Gammaproteobacteria,LMDS01,6.821,885,0.68633,4.536871,86.37,4.29,0.6492
Green_T.bin.6,Gammaproteobacteria,LMDS01,4.118,1132,0.70061,3.9019,83.71,2.87,0.6936
Green_AP.bin.2,Gammaproteobacteria,Rhodanobacter,5.821,757,0.63253,3.489359,88.19,1.16,0.8239
Brown_AE.bin.8,Gammaproteobacteria,Rouxiella,4.191,1188,0.4886,4.085479,87.6,2.51,0.7505
Brown_K.bin.4,Gammaproteobacteria,Rudaea,11.525,474,0.60109,3.602713,95.16,1.78,0.8626
Brown_P.bin.2,Gammaproteobacteria,Rudaea,17.147,280,0.588,3.270511,95.33,2.25,0.8408
Brown_Y.bin.6,Gammaproteobacteria,Schlegelella_A,7.404,705,0.69274,3.87362,89.85,3.09,0.7440000000000001
Brown_P.bin.5,Gammaproteobacteria,Variovorax,3.328,1448,0.6826,4.221147,59.79,0.75,0.5604
Green_AK.bin.2,Gammaproteobacteria,Xanthomonas_A,4.374,926,0.6834,3.284003,70.37,1.75,0.6162
Brown_J.bin.2,Ktedonobacteria,DTNP01,17.267,544,0.482,5.832297,99.08,4.95,0.7433
Brown_AE.bin.11,Ktedonobacteria,Dictyobacter,40.316,285,0.52389,6.163381,98.18,4.29,0.7673000000000001
Brown_AA.bin.4,Terriglobia,Bog-105,4.691,1173,0.5734,4.709404,77.11,1.3,0.7061
Brown_AB.bin.1,Terriglobia,CAIQPK01,7.409,743,0.59368,4.257261,72.84,0.29,0.7139
Green_AK.bin.5,Terriglobia,EB88,16.654,408,0.64372,3.892639,95.47,0.86,0.9117
Green_AM.bin.2,Terriglobia,EB88,2.481,1162,0.63922,2.592982,63.92,2.3,0.5242
Green_X.bin.1,Terriglobia,EB88,24.954,287,0.61587,4.093177,96.98,0,0.9698
Brown_AC.bin.1,Terriglobia,Edaphobacter,29.869,246,0.56561,4.626494,77.35,2.59,0.644
Green_AP.bin.7,Terriglobia,Granulicella_B,5.687,1011,0.60671,4.414568,88.45,5.17,0.626
Green_AP.bin.11,Terriglobia,Granulicella_C,34.411,220,0.59987,4.623242,96.32,0.85,0.9207
Brown_AE.bin.5,Terriglobia,Granulicella_D,42.29,160,0.59665,4.022583,96.81,0.91,0.9226
Brown_AE.bin.2,Terriglobia,KBS-83,63.21,120,0.57666,4.611933,96.93,0.86,0.9263
Brown_N.bin.1,Terriglobia,KBS-83,37.237,185,0.58536,4.046805,92.89,0.39,0.9094
Brown_X.bin.1,Terriglobia,KBS-83,21.774,365,0.57059,5.236412,95.72,1.72,0.8712000000000001
Green_M.bin.1,Terriglobia,KBS-83,25.895,278,0.58108,4.114981,88.27,0.86,0.8397
Brown_J.bin.3,Terriglobia,PALSA-350,14.322,509,0.59115,5.307594,95.69,0.05,0.9544
Brown_W.bin.4,Terriglobia,Sulfotelmatobacter,37.882,321,0.56888,5.809244,93.18,2.56,0.8038
Brown_T.bin.5,Terriglobia,Terriglobus,9.017,612,0.61882,3.817305,80.19,2.21,0.6914
Brown_Z.bin.7,Terriglobia,Terriglobus,12.01,283,0.61565,2.753255,72.27,3.52,0.5467
Green_K.bin.1,Terriglobia,Terriglobus,8.038,431,0.61375,2.797453,86.4,4.38,0.645
Brown_J.bin.1,Terriglobia,Tous-C9LFEB,10.391,569,0.61922,3.751582,82.14,0.22,0.8104
Brown_Q.bin.4,Terriglobia,Tous-C9LFEB,30.706,278,0.61411,4.882218,93.7,2.17,0.8284999999999999
Brown_T.bin.2,Terriglobia,NA,11.85,370,0.58774,3.083648,66.28,2.59,0.5333
Green_V.bin.4,Terriglobia,NA,8.46,732,0.56775,4.833263,71.74,2.61,0.5869
Brown_T.bin.10,Thermoleophilia,Palsa-465,7.685,525,0.7123,3.055598,93.28,1.42,0.8618000000000001
Green_T.bin.8,Thermoleophilia,Palsa-465,14.609,363,0.69624,3.870118,85.34,0.34,0.8364
Green_V.bin.5,Thermoleophilia,Palsa-465,19.803,369,0.70806,3.552885,95.88,1.78,0.8698
Brown_AD.bin.9,Thermoleophilia,VAYN01,3.651,543,0.70608,1.697414,50.3,0,0.503
Brown_P.bin.1,Thermoleophilia,VAYN01,4.487,874,0.69717,3.134614,84.67,2.76,0.7087
Brown_M.bin.5,Verrucomicrobiae,CAHJWO01,12.056,612,0.64397,4.896786,91.4,5.07,0.6605
Brown_K.bin.2,Verrucomicrobiae,JABDGH01,4.457,575,0.62094,2.191856,73.75,1.49,0.6629999999999999
Brown_R.bin.4,Verrucomicrobiae,JABDGH01,2.954,647,0.6446,1.705271,56.49,1.25,0.5024000000000001
Brown_S.bin.4,Verrucomicrobiae,JABDGH01,12.759,328,0.64134,2.804503,89.55,2.7,0.7605
Brown_Y.bin.1,Verrucomicrobiae,JABDGH01,9.252,417,0.60415,3.006728,81.72,2.36,0.6992
Brown_Y.bin.7,Verrucomicrobiae,JABDGH01,8.436,662,0.5519,4.330945,73.81,4.08,0.5341
