MAG	Domain	Phylum	Class	Order	Family	Genus	Species	Completeness	Contamination	QualityScore
Brown_X.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	KBS-83	KBS-83 BrX1.MAG	95.72	1.72	87.12
Brown_X.bin.4	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	Bog-1198 BrX4.MAG	87.3	2.98	72.4
Brown_Y.bin.1	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA1321	JABDGH01	JABDGH01 BrY1.MAG	81.72	2.36	69.92
Brown_Y.bin.2	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	Bog-1198 BrY2.MAG	94.04	4.92	69.44
Brown_Y.bin.3	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	Puia BrY3.MAG	91.4	1.81	82.35
Brown_Y.bin.4	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	Puia BrY4.MAG	71.68	2.76	57.88
Brown_Y.bin.6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Schlegelella_A	Schlegelella_A BrY6.MAG	89.85	3.09	74.4
Brown_Y.bin.7	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Methylacidiphilales	UBA1321	JABDGH01	JABDGH01 BrY7.MAG	73.81	4.08	53.41
Brown_Z.bin.1	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Stigonema	Stigonema BrZ1.MAG	79.86	1.93	70.21
Brown_Z.bin.2	Bacteria	Actinobacteriota	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Trebonia	Trebonia BrZ2.MAG	76.97	2.16	66.17
Brown_Z.bin.5	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Mucilaginibacter BrZ5.MAG	73.44	3.29	56.99
Brown_Z.bin.7	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus BrZ7.MAG	72.27	3.52	54.67
Green_AA.bin.3	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Novosphingobium	Novosphingobium GrAA3.MAG	94.39	1.9	84.89
Green_AD.bin.2	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc	Nostoc GrAD2.MAG	68.03	2.19	57.08
Green_AK.bin.2	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas_A	Xanthomonas_A GrAK2.MAG	70.37	1.75	61.62
Green_AK.bin.3	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter_A	Mucilaginibacter_A GrAK3.MAG	64.97	0	64.97
Green_AK.bin.4	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	Acidocella GrAK4.MAG	69.86	2.28	58.46
Green_AK.bin.5	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	EB88	EB88 GrAK5.MAG	95.47	0.86	91.17
Green_AK.bin.6	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Velthaea	Velthaea GrAK6.MAG	62.53	1.85	53.28
Green_AM.bin.2	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	EB88	EB88 GrAM2.MAG	63.92	2.3	52.42
Green_AM.bin.3	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	NA	Nostocaceae GrAM3.MAG	75.85	1.2	69.85
Green_AO.bin.1	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Pseudolysinimonas	Pseudolysinimonas GrAO1.MAG	78.66	2.86	64.36
Green_AO.bin.3	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Jatrophihabitantaceae	Iso899	Iso899 GrAO3.MAG	90.64	0.57	87.79
Green_AO.bin.5	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas_N	Sphingomonas_N GrAO5.MAG	79.87	1.94	70.17
Green_AP.bin.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium GrAP1.MAG	89.23	1.67	80.88
Green_AP.bin.10	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas GrAP10.MAG	70.26	1.59	62.31
Green_AP.bin.11	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_C	Granulicella_C GrAP11.MAG	96.32	0.85	92.07
Green_AP.bin.12	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Lichenicola	Lichenicola GrAP12.MAG	95.93	1.44	88.73
Green_AP.bin.13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Lichenihabitans	Lichenihabitans GrAP13.MAG	73.63	2.45	61.38
Green_AP.bin.14	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter GrAP14.MAG	98.47	0.76	94.67
Green_AP.bin.2	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Rhodanobacteraceae	Rhodanobacter	Rhodanobacter GrAP2.MAG	88.19	1.16	82.39
Green_AP.bin.3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Methylobacterium GrAP3.MAG	74.55	1.93	64.9
Green_AP.bin.4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	RH-AL1	RH-AL1 GrAP4.MAG	80.32	1.17	74.47
Green_AP.bin.5	Bacteria	Actinobacteriota	Actinomycetia	Mycobacteriales	Nakamurellaceae	Nakamurella	Nakamurella GrAP5.MAG	69.7	2.48	57.3
Green_AP.bin.7	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Granulicella_B	Granulicella_B GrAP7.MAG	88.45	5.17	62.6
Green_AP.bin.8	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas GrAP8.MAG	65.48	2.76	51.68
Green_K.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus GrK1.MAG	86.4	4.38	64.5
Green_M.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	KBS-83	KBS-83 GrM1.MAG	88.27	0.86	83.97
Green_N.bin.2	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	NA	Acetobacteraceae GrN2.MAG	86.97	2.09	76.52
Green_N.bin.3	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales_A	Enterobacteriaceae_A	Buchnera	Buchnera GrN3.MAG	68.8	0	68.8
Green_P.bin.4	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	LMDS01	LMDS01 GrP4.MAG	86.37	4.29	64.92
Green_P.bin.6	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	CAHJXG01 GrP6.MAG	96.04	1.86	86.74
Green_Q.bin.1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	CAHJXF01	CAHJXF01 GrQ1.MAG	94.56	1.95	84.81
Green_R.bin.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	RH-AL1	RH-AL1 GrR1.MAG	84.29	2.27	72.94
Green_S.bin.2	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Nyctobacter	Nyctobacter GrS2.MAG	95.31	0	95.31
Green_T.bin.1	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Janthinobacterium	Janthinobacterium GrT1.MAG	68.13	2.92	53.53
Green_T.bin.3	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	Bog-1198	Bog-1198 GrT3.MAG	92.35	3.79	73.4
Green_T.bin.4	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	LMUY01	LMUY01 GrT4.MAG	90.32	1.26	84.02
Green_T.bin.6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	LMDS01	LMDS01 GrT6.MAG	83.71	2.87	69.36
Green_T.bin.8	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Palsa-465 GrT8.MAG	85.34	0.34	83.64
Green_V.bin.4	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	NA	Bryobacteraceae GrV4.MAG	71.74	2.61	58.69
Green_V.bin.5	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Palsa-465	Palsa-465 GrV5.MAG	95.88	1.78	86.98
Green_W.bin.2	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc	Nostoc GrW2.MAG	89.37	0.67	86.02
Green_X.bin.1	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae	EB88	EB88 GrX1.MAG	96.98	0	96.98
