L50 (kb)	N50	Number of contigs	GC	MBP	MAG	comp	cont	QS
12.157	107	537	39.431	4.22681	Brown_J.bin.6	92.86	1.83	0.8371
11.127	142	583	64.47800000000001	4.718312	Brown_J.bin.7	91.38	0.93	0.8673000000000001
5.743	421	1512	42.311	7.367868	Brown_J.bin.8	80.16	4.19	0.5921
11.925	75	320	66.74	3.02699	Brown_J.bin.9	56.9	0.86	0.526
6.9	164	657	61.729	3.543046	Brown_K.bin.1	77.8	0.93	0.7315
4.457	142	575	62.09400000000001	2.191856	Brown_K.bin.2	73.75	1.49	0.6629999999999999
8.852	147	609	41.865	4.179142	Brown_K.bin.3	82.45	2.86	0.6815000000000001
11.525	97	474	60.109	3.602713	Brown_K.bin.4	95.16	1.78	0.8626
5.665	212	776	65.371	3.642492	Brown_K.bin.8	77.62	0.86	0.7332
12.056	127	612	64.397	4.896786	Brown_M.bin.5	91.4	5.07	0.6605
37.237	33	185	58.536	4.046805	Brown_N.bin.1	92.89	0.39	0.9094
4.845	396	1614	71.97200000000001	6.166082	Brown_P.bin.10	84.88	3.51	0.6733
4.487	223	874	69.717	3.134614	Brown_P.bin.1	84.67	2.76	0.7087
17.147	52	280	58.8	3.270511	Brown_P.bin.2	95.33	2.25	0.8408
3.328	426	1448	68.26	4.221147	Brown_P.bin.5	59.79	0.75	0.5604
38.315	33	203	64.873	4.10353	Brown_Q.bin.2	97.05	3.56	0.7925
12.981	87	428	70.223	3.672127	Brown_Q.bin.3	90.84	1.17	0.8499
30.706	48	278	61.411	4.882218	Brown_Q.bin.4	93.7	2.17	0.8284999999999999
8.573	97	402	71.807	2.607749	Brown_Q.bin.7	83.93	2.38	0.7203
4.523	210	811	60.543	2.938442	Brown_R.bin.1	76.02	0.12	0.7542
11.474	83	425	66.434	3.237131	Brown_R.bin.3	95.16	0.93	0.9051
2.954	203	647	64.46	1.705271	Brown_R.bin.4	56.49	1.25	0.5024000000000001
5.663	162	654	64.848	2.925572	Brown_R.bin.8	70.42	0.5	0.6792
2.343	559	1860	39.719	3.91773	Brown_S.bin.2	65.74	2.88	0.5134000000000001
12.759	71	328	64.134	2.804503	Brown_S.bin.4	89.55	2.7	0.7605
9.527	118	485	66.728	3.560917	Brown_S.bin.5	85.91	1.88	0.7651
7.685	125	525	71.23	3.055598	Brown_T.bin.10	93.28	1.42	0.8618000000000001
11.85	88	370	58.774	3.083648	Brown_T.bin.2	66.28	2.59	0.5333
9.017	120	612	61.882000000000005	3.817305	Brown_T.bin.5	80.19	2.21	0.6914
8.237	103	397	64.35600000000001	2.725185	Brown_T.bin.6	70.27	1.6	0.6227
3.216	499	1721	70.75099999999999	4.945927	Brown_T.bin.8	58.12	1.6	0.5012
21.471	57	247	61.748999999999995	3.749026	Brown_V.bin.1	90.77	2.67	0.7742
37.882	44	321	56.888000000000005	5.809244	Brown_W.bin.4	93.18	2.56	0.8038
21.774	73	365	57.059000000000005	5.236412	Brown_X.bin.1	95.72	1.72	0.8712000000000001
9.749	117	528	66.254	3.618176	Brown_X.bin.4	87.3	2.98	0.7240000000000001
9.252	110	417	60.415	3.006728	Brown_Y.bin.1	81.72	2.36	0.6992
22.683	68	323	60.169	4.489026	Brown_Y.bin.2	94.04	4.92	0.6944
10.325	117	542	50.38	3.933834	Brown_Y.bin.3	91.4	1.81	0.8234999999999999
3.239	369	1239	51.581999999999994	3.503203	Brown_Y.bin.4	71.68	2.76	0.5788
7.404	168	705	69.274	3.87362	Brown_Y.bin.6	89.85	3.09	0.7440000000000001
8.436	147	662	55.19	4.330945	Brown_Y.bin.7	73.81	4.08	0.5341
6.61	398	1776	43.614000000000004	9.001414	Brown_Z.bin.1	79.86	1.93	0.7021
4.306	440	1706	71.351	5.863932	Brown_Z.bin.2	76.97	2.16	0.6617000000000001
4.357	261	978	45.772	3.386165	Brown_Z.bin.5	73.44	3.29	0.5699000000000001
12.01	69	283	61.565000000000005	2.753255	Brown_Z.bin.7	72.27	3.52	0.5467
23.319	48	225	62.692	3.555775	Green_AA.bin.3	94.39	1.9	0.8489
5.29	340	1204	41.213	5.42822	Green_AD.bin.2	68.03	2.19	0.5708
4.374	242	926	68.34	3.284003	Green_AK.bin.2	70.37	1.75	0.6162
2.537	287	876	41.282999999999994	2.046738	Green_AK.bin.3	64.97	0	0.6496999999999999
3.168	287	971	61.623000000000005	2.576019	Green_AK.bin.4	69.86	2.28	0.5846
16.654	65	408	64.372	3.892639	Green_AK.bin.5	95.47	0.86	0.9117000000000001
2.463	444	1472	61.07900000000001	3.244277	Green_AK.bin.6	62.53	1.85	0.5328
2.481	359	1162	63.922000000000004	2.592982	Green_AM.bin.2	63.92	2.3	0.5242
4.447	331	1173	39.854	4.507805	Green_AM.bin.3	75.85	1.2	0.6984999999999999
4.323	187	681	67.868	2.556099	Green_AO.bin.1	78.66	2.86	0.6436
9.82	149	666	67.59100000000001	4.602104	Green_AO.bin.3	90.64	0.57	0.8779
5.786	199	841	67.58800000000001	3.802072	Green_AO.bin.5	79.87	1.94	0.7017
2.663	304	979	62.739	2.308384	Green_AO.bin.6	69.57	1.65	0.6132
5.616	162	697	67.728	2.991499	Green_AP.bin.10	70.26	1.59	0.6231
34.411	38	220	59.987	4.623242	Green_AP.bin.11	96.32	0.85	0.9207
17.649	51	296	70.286	3.333381	Green_AP.bin.12	95.93	1.44	0.8873000000000001
4.294	306	1061	69.339	3.941059	Green_AP.bin.13	73.63	2.45	0.6138
25.585	72	381	62.105999999999995	5.630562	Green_AP.bin.14	98.47	0.76	0.9467
14.898	105	569	61.778999999999996	5.40608	Green_AP.bin.1	89.23	1.67	0.8088
5.821	188	757	63.253	3.489359	Green_AP.bin.2	88.19	1.16	0.8239
5.438	213	876	69.427	3.982691	Green_AP.bin.3	74.55	1.93	0.649
6.947	140	651	69.233	3.205322	Green_AP.bin.4	80.32	1.17	0.7447
2.777	387	1221	69.25	3.132586	Green_AP.bin.5	69.7	2.48	0.573
5.687	243	1011	60.671	4.414568	Green_AP.bin.7	88.45	5.17	0.626
12.719	68	350	66.315	2.914949	Green_AP.bin.8	65.48	2.76	0.5168
8.038	111	431	61.375	2.797453	Green_K.bin.1	86.4	4.38	0.645
25.895	50	278	58.108000000000004	4.114981	Green_M.bin.1	88.27	0.86	0.8397
7.914	130	562	64.062	3.414337	Green_N.bin.2	86.97	2.09	0.7652
2.85	57	174	25.135	0.463963	Green_N.bin.3	68.8	0	0.688
6.821	216	885	68.633	4.536871	Green_P.bin.4	86.37	4.29	0.6492
25.958	66	372	67.742	5.627455	Green_P.bin.6	96.04	1.86	0.8674
13.105	100	452	66.884	4.094172	Green_Q.bin.1	94.56	1.95	0.8481000000000001
7.568	126	515	68.054	3.04417	Green_R.bin.1	84.29	2.27	0.7293999999999999
16.539	58	292	67.697	2.869165	Green_S.bin.2	95.31	0	0.9531000000000001
2.867	441	1500	60.211999999999996	3.750893	Green_T.bin.1	68.13	2.92	0.5353
19.029	56	266	62.219	3.464353	Green_T.bin.3	92.35	3.79	0.7340000000000001
15.492	93	420	66.822	4.437957	Green_T.bin.4	90.32	1.26	0.8402
4.118	300	1132	70.06099999999999	3.9019	Green_T.bin.6	83.71	2.87	0.6936
14.609	81	363	69.624	3.870118	Green_T.bin.8	85.34	0.34	0.8364
8.46	186	732	56.775	4.833263	Green_V.bin.4	71.74	2.61	0.5869
19.803	56	369	70.806	3.552885	Green_V.bin.5	95.88	1.78	0.8698
6.989	304	1293	41.899	7.027614	Green_W.bin.2	89.37	0.67	0.8602
24.954	50	287	61.587	4.093177	Green_X.bin.1	96.98	0	0.9698
